,title,fashion_houseLabel,designerLabel,start_year,end_year
1618,,Ensemble,Tarun Tahiliani,,
1619,,Tarun Tahiliani Brand,Tarun Tahiliani,,
1620,,Aimé Leon Dore (Ald),Teddy Santis,,
1621,,Thakoon,Thakoon Panichgul,,
1622,,Thebe Magugu,Thebe Magugu,,
1623,,Woolworths Group,Thebe Magugu,,
1624,,Thom Browne Label,Thom Browne,,
1625,,Wilkinson Gallery,Thomas Tait,,
1626,,Alison Jacquest Gallery,Thomas Tait,,
1627,,Thomas Tait,Thomas Tait,,
1628,,Todd Snyder,Todd Snyder,,
1629,,Tomas Maier Eponymous Label,Tomas Maier,,
1630,,Tomo Koizumi,Tomo Koizumi,,
1631,,costume designer,Tomo Koizumi,,
1632,,People’S Place,Tommy Hilfiger,,
1633,,Cfda/Vogue Fashion Fund,Tommy Hilfiger,,
1634,,Denim Tears,Tremaine Emory,,
1635,,John Galliano At Dior,Ulyana Sergeenko,,
1636,,Ulyana Sergeenko Brand,Ulyana Sergeenko,,
1637,,Several Chinese Labels,Uma Wang,,
1638,,Uma Wang (Self-Owned Label),Uma Wang,,
1639,,Umit Benan,Umit Benan,,
1640,,Jean Dèsses,Valentino,,
1641,,Valentino Garavani Studio,Valentino,,
1642,,M-Flo,Verbal & Yoon,,
1643,,Ambush Design Company,Verbal & Yoon,,
1644,,Antonio Murphy & Astro,Verbal & Yoon,,
1645,,Pyrex Vision,Virgil Abloh,,
1646,,Spice Girls,Victoria Beckham,,
1647,,Victoria Beckham Brand,Victoria Beckham,,
1648,,Vika Gazinskaya Label,Vika Gazinskaya,,
1649,,"Malcom Mclaren’S Influential Kings Road Store, Sex",Vivienne Westwood,,
1650,,Wes Gordon Label,Wes Gordon,,
1651,,Willy Chavarria Label,Willy Chavarria,,
1652,,Self-Employed (Xander Zhou Label),Xander Zhou,,
1653,,Consultant For Various Brands,Xander Zhou,,
1654,,Archi Doom,Yasuhiro Mihara,,
1655,,Maison Mihara Yasuhiro,Yasuhiro Mihara,,
1656,,Yohji Yamamoto'S Mother'S Shop,Yohji Yamamoto,,
1657,,Yohji Yamamoto & Y'S,Yohji Yamamoto,,
1658,,Saint Ann'S School,Zac Posen,,
1659,,Posen Foundation,Zac Posen,,
1660,,Rose Studio,Guo Pei,,
1661,,Chambre Syndicale de la Haute Couture,Guo Pei,,
1662,,Lukhanyo Mdingi Label,lukhanyo Mdingi,,
1663,,Peter Do,Peter Do,,
1664,,S.S. Daley,Steven Stokey-Daley,,
1665,,Solid Homme,Woo Young Mi,,
1666,creative director,Chloé,Phoebe Philo,2001,2006
1667,creative director,Balenciaga,Nicolas Ghesquière,2001,2012
1668,creative director of fine jewellery,Hermès,Pierre Hardy,2001,
1669,creative director,Calvin Klein,Pieter Mulier,2017,
1670,founder and style director,Osklen,Oskar Metsavaht,1990,
1671,founder/designer,Esther Tautz,Patrick Grant,2009,
1672,artistic director,Lanvin,Peter Copping,2024,
1673,artistic director,Courrèges,Nicolas Di Felice,2020,
1674,director of accessories,Jil Sander,Pieter Mulier,2006,
1675,founder,Paul Smith,Paul Smith,1970,
1676,artistic director,Pucci,Peter Melville Dundas,2008,
1677,founder,Dundas,Peter Melville Dundas,2017,
1678,creative director,Emanuel Ungaro,Peter Melville Dundas,1965,
1679,creative director,La Perla,Pedro Lourenço,2016,2016
1680,chief designer,Roberto Cavalli,Peter Melville Dundas,2015,2016
1681,creative director,Lacoste,Pelagia Kolotouros,1933,
1682,creative director,Oscar de la Renta,Peter Copping,2014,2015
1683,creative director,Salvatore Ferragamo Italia S.p.A.,Paul Andrew,2019,
1684,creative director,Rochas,Olivier Theyskens,2002,2006
1685,label founder,New Guards Group,Peggy Gou,2019,
1686,creative director,Sergio Rossi,Paul Andrew,2024,
1687,creative director,Christys’ Hats,Noel Stewart,2013,
1688,founder,Noel Stewart,Noel Stewart,2003,
1689,founder,Olivier Theyskens,Olivier Theyskens,2014,
1690,founder,Patricia Viera'S Namesake Brand,Patricia Viera,1998,
1691,founder,Community Clothing,Patrick Grant,2016,
1692,founder,Paul Andrew,Paul Andrew,2012,
1693,founder,Paula Cademartori (Self-Employed),Paula Cademartori,2010,2016
1694,founder,Koninklijke Nederlandsche Edelmetaal Bedrijven Van Kempen Begeer & Vos N.V.,Pedro Lourenço,2018,
1695,co-founder,Billionaire Boys Club,Pharrell Williams,2005,
1696,co-founder,Ice Cream,Pharrell Williams,2005,
1697,founder,Philipp Plein,Philipp Plein,1946,
1698,co-founder,3.1 Phillip Lim,Phillip Lim,2007,
1699,"founder, artistic director, majority owner",Phoebe Philo Label,Phoebe Philo,2023,
1700,founder,Pierre Hardy (His Own Brand),Pierre Hardy,1999,
1701,creative director,Givenchy,Sarah Burton,2024,
1702,creative director,Alexander McQueen,Sarah Burton,2010,2023
1703,creative director,Alexander McQueen,Seán McGirr,2023,
1704,co-creative director,Prada,Raf Simons,2020,
1705,fashion director,Valentino,Sabato de Sarno,2009,2023
1706,founder,Luar,Raúl López,2010,
1707,founder,Maison Rabih Kayrouz,Rabih Kayrouz,2009,
1708,creative director,Comme des Garçons,Rei Kawakubo,1969,2018
1709,founder,Prabal Gurung,Prabal Gurung,2009,
1710,founder,Raf Simons,Raf Simons,1995,
1711,founder,Roksanda Ilincic,Roksanda Ilincic,1999,
1712,co-founder,Dover Street Market,Rei Kawakubo,2004,
1713,artistic director,Révillon Frères,Rick Owens,2002,2007
1714,creative director,Maison Azzedine Alaïa,Pieter Mulier,2021,
1715,chief designer,Onward Kashiyama'S Icb Brand,Prabal Gurung,2011,
1716,founder,Rajesh Pratap Singh (Label),Rajesh Pratap Singh,1997,
1717,founder,Quinn,Richard Quinn,2016,
1718,founder and designer,Rokh,Rok Hwang,2018,
1719,founder,Assoulin Label,Rosie Assoulin,2014,
1720,founder,Bodice,Ruchika Sachdeva,2011,
1721,founder,Sabyasachi Mukherjee (Self),Sabyasachi Mukherjee,1999,
1722,founder,A-Cold-Wall,Samuel Ross,2015,
1723,creative director,Sies Marjan,Sander Lak,2016,
1724,fashion director,Reformation,Sarah Staudinger,2013,
1725,co-founder,Staud,Sarah Staudinger,2015,
1726,"founder, chief executive, creative director",Band Of Outsiders,Scott Sternberg,2004,2015
1727,"founder, chief executive, creative director",Entireworld,Scott Sternberg,2018,2021
1728,co-founder,Creatures Of The Wind,Shane Gabier & Chris Peters,2007,
1729,founder,Sankuanz,Shangguan Zhe,2008,
1730,design director,Gap Inc.,Carol Lim & Humberto Leon,,
1731,founder,Angel Chen Label,Angel Chen,,
1732,founder,House Of Anita Dongre,Anita Dongre,,
1733,art director,Hugo By Hugo Boss,Bruno Pieters,,
1734,founder,Carla Fernández,Carla Fernández Tena,,
1735,co-founder/worker,Pigalle,Charaf Tajer,,
1736,creative director,Pringle of Scotland,Clare Waight Keller,,
1737,founder,Kidsuper,Colm Dillane,,
1738,founder,Dian Pelangi Brand,Dian Pelangi,,
1739,creative director,Joop!,Dirk Schoenberger,,2010
1740,creative director for fashion jewellery and creative consultant for leather goods,Dior,Camille Miceli,2009,2014
1741,co-creative directors,Kenzo,Carol Lim & Humberto Leon,2011,2019
1742,accessories creative director,Louis Vuitton,Camille Miceli,2014,2021
1743,artistic director,Lanvin,Bouchra Jarrar,2016,2017
1744,studio director,Balenciaga,Bouchra Jarrar,1996,2006
1745,artistic director,Givenchy,Clare Waight Keller,2017,2020
1746,design director,Burberry,Carol Lim & Humberto Leon,1856,
1747,design director for women's ready-to-wear,Yves Saint Laurent,Chemena Kamali,2016,
1748,creative director,Chloé,Chemena Kamali,2023,
1749,artistic director,Pucci,Camille Miceli,2021,
1750,founder,Anna October,Anna October,2010,
1751,managing director,Anya Hindmarch,Anya Hindmarch,2019,
1752,founder,Charlotte Olympia,Charlotte Dellal,2008,
1753,founder,Christian Louboutin,Christian Louboutin,1992,
1754,founder,Bethany Williams,Bethany J Williams,2017,
1755,founder,Bianca Saunders,Bianca Saunders,2017,
1756,founder/creative director,Casablanca,Charaf Tajer,2018,
1757,founder,Cecilie Bahnsen,Cecilie Frost Bahnsen,2015,
1758,founder and creative director,Khaite,Catherine Holstein,2016,
1759,founder,Ann Demeulemeester Label,Ann Demeulemeester,1985,
1760,founder,Alaïa,Azzedine Alaïa,2019,
1761,founder,Opening Ceremony,Carol Lim & Humberto Leon,2002,
1762,founder,Bouchra Jarrar'S Own Couture House,Bouchra Jarrar,2010,
1763,design director,Supreme,Brendon Babenzien & Estelle Bailey-Babenzien,2006,2015
1764,founder,Honest By,Bruno Pieters,2012,2019
1765,founder & creative director,Les Benjamins,Bunyamin Aydin,2011,
1766,co-founder,Want Les Essentiels,Byron & Dexter Peart,2006,
1767,founder,Calvin Klein Limited,Calvin Klein,1968,
1768,founder,Loverboy,Charles Jeffrey,1999,
1769,founder,Xu Zhi,Chen Xuzhi,2014,
1770,artistic director,Hermès,Christophe Lemaire & Sarah-Linh Tran,2010,2014
1771,creative director,Bottega Veneta,Daniel Lee,2018,2021
1772,head designer,Ralph Lauren,Clare Waight Keller,1967,
1773,president and chief executive,Burberry,Christopher Bailey,2014,2017
1774,chief creative officer,Burberry,Daniel Lee,2022,
1775,head designer,Versus,Donatella Versace,1994,
1776,creative directors,DKNY,Dao-Yi Chow & Maxwell Osborne,2015,2016
1777,co-founders,Dolce & Gabbana,Domenico Dolce & Stefano Gabbana,1985,
1778,creative director of Versus,Versace,Christopher Kane,2009,
1779,creative director,Chloé,Clare Waight Keller,2011,2017
1780,artistic director,Balenciaga,Demna Gvasalia,2015,
1781,creative director,Marni,Consuelo Castiglioni,1994,2016
1782,head designer,Anne Klein,Donna Karan,1974,
1783,artistic director,House of Schiaparelli,Daniel Roseberry,2019,
1784,artistic director,House of Schiaparelli,Daniel Roseberry,2019,
1785,artistic director,House of Schiaparelli,Daniel Roseberry,2019,
1786,design director of men’s and women’s collections,Thom Browne,Daniel Roseberry,2008,2019
1787,creative director,Adidas AG,Dirk Schoenberger,2010,2018
1788,creative director,Adidas AG,Dirk Schoenberger,2010,2018
1789,creative director,Adidas AG,Dirk Schoenberger,2010,2018
1790,founder,Aquazzura,Edgardo Osorio,2011,
1791,founder and designer,Christopher Esber,Christopher Esber,2010,
1792,Founder,Christopher John Rogers,Christopher John Rogers,2016,
1793,founder,Craig Green,Craig Green Mbe,1995,
1794,founder,Delfina Delettrez,Delfina Delettrez,2007,
1795,founder,Meadham Kirchhoff,Edward Meadham & Benjamin Kirchhoff,2006,
1796,head designer,Atelier Versace,Donatella Versace,1994,
1797,ready-to-wear director,Celine,Daniel Lee,2012,2018
1798,head of shoes,Roberto Cavalli,Edgardo Osorio,2023,
1799,founder,Lemaire,Christophe Lemaire & Sarah-Linh Tran,2014,
1800,artistic director,Uniqlo U,Christophe Lemaire & Sarah-Linh Tran,1949,
1801,creative director,Uniqlo Paris R&D Centre,Clare Waight Keller,2024,
1802,founder,Christopher Kane Label,Christopher Kane,2006,
1803,founder,Corteiz,Clint 419,2017,
1804,Founder,Dion Lee Label,Dion Lee,2008,
1805,founder,Donna Karan'S Own Business,Donna Karan,1984,
1806,founder,Edward Crutchley Label,Edward Crutchley,2015,
1807,founder,Essentiel Antwerp,Inge Onsea,,
1808,founder,Flattered,Miley Cyrus,,
1809,founder,Florentina Leitner,Florentina Leitner,,
1810,founder,Floyd,Bernd Georgi,,
1811,founder,Giuliana Romanno,Giuliana Romanno,,
1812,founder,Greg Lauren,Greg Lauren,,
1813,founder,Heohwan Simulation,Hwan Heo,,
1814,founder,Holiday Boileau,Holiday Boileau,,
1815,founder,Hoorsenbuhs,Robert Keith,,
1816,founder,Apiece Apart,Laura Cramer,,
1817,founder,Araisara,Sara Arai,,
1818,founder,Araks,Araks Yeramyan,,
1819,founder,Au Jour Le Jour,Mirko Fontana,,
1820,founder,Autry,Autry Powell,,
1821,founder,Autumn Adeigbo,Autumn Adeigbo,,
1822,founder,Axel Arigato,Max Svardh,,
1823,founder,Bernadette,Bernadette Pardo,,
1824,founder,Bethany Williams,Bethany J Williams,,
1825,founder,Brandon Maxwell,Brandon Maxwell,,
1826,founder,Briony Raymond,Briony Raymond,,
1827,founder,Brock Collection,Laura Vassar,,
1828,founder,By Pariah,Sophie Kargman,,
1829,founder,Caroline Hu,Caroline K Hu,,
1830,founder,Iceberg,Silvio Gerani,1962,
1831,founder,Etro,Gimmo Etro,1968,
1832,founder,Erreuno,Ermanno Ronchi,1971,
1833,founder,Falguni Shane Peacock,Falguni & Shane Peacock,1995,
1834,founder,Ester Manas,Ester Manas,2009,
1835,founder,Ernesto Naranjo,Ernesto Naranjo,2009,
1836,founder,Essie,Essie Weingarten,1981,
1837,founder,Esther Perbandt,Esther Perbandt,2004,
1838,founder,Et Ochs,Liz Ochs,2009,
1839,founder,Eucerin,Isaac Lifschütz,1900,
1840,founder,Eudon Choi,Eudon Choi,2011,
1841,founder,Eve Lom,Eve Lom,1989,
1842,founder,Eytys,Max Schiller,2013,
1843,founder,Fabiana Filippi,Founders,1985,
1844,founder,Facetasm,Hiromichi Ochiai,2006,
1845,founder,Fashion Fringe,Colin McDowell,2003,
1846,founder,Faris,Faris Kabiri,2018,
1847,founder,Fashion East,The Old Truman Brewery,2000,
1848,founder,Faustine Steinmetz,Faustine Steinmetz,2013,
1849,founder,Fausto Puglisi,Fausto Puglisi,2013,
1850,founder,Fe Noel,Felisha Noel,2014,
1851,founder,Feng Chen Wang,Feng Chen Wang,2015,
1852,founder,Fernando Jorge,Fernando Jorge,2011,
1853,founder,Fisch,Fisch Huber,2014,
1854,founder,Fleamadonna,Jei Kim,2007,
1855,founder,French Connection,Stephen Marks,1972,
1856,founder,Hodakova,Jana Hodakova,2018,
1857,founder,Foundrae,Murat Bugdaycay,2015,
1858,founder,Frances Valentine,Kate & Andy Spade,2015,
1859,founder,Francesca Villa,Francesca Villa,2018,
1860,founder,Francisco Cancino,Francisco Cancino,2009,
1861,founder,Frankies Bikinis,Francesca Aiello,2012,
1862,founder,Fred Leighton,Fred Leighton,1969,
1863,founder,Fry Powers,Two Friends,2020,
1864,founder,Fumito Ganryu,Fumito Ganryu,2015,
1865,founder,Gabriela Hearst,Gabriela Hearst,2015,
1866,founder,Gail Sorronda,Gail Sorronda,2006,
1867,founder,Galia Lahav,Galia Lahav,1989,
1868,founder,Ganni,Ditte Reffstrup,2000,
1869,founder,Gap Inc.,Don Fisher,1969,
1870,founder,Garland Collection,Toni Garland,2018,
1871,founder,Garnier,Francis Garnier,1904,
1872,founder,Gary Bigeni,Gary Bigeni,2011,
1873,founder,Gary Graham,Gary Graham,2001,
1874,founder,Gasanova,Two Friends,2020,
1875,founder,Gauchere,Marie-Christine Statz,2012,
1876,founder,Gauge81,Aya Kanai,2018,
1877,founder,Gayeon Lee,Gayeon Lee,1995,
1878,founder,Grenson,Grenson,1866,
1879,founder,Gia Borghini,Gia Borghini,2014,
1880,founder,Gigi Clozeau,Gigi Clozeau,2014,
1881,founder,Giulietta,Sofia Sizzi,2011,
1882,founder,Givenchy Eyewear,Hubert de Givenchy,1952,
1883,founder,Goldbergh,Lieke Van Den Berg,2010,
1884,founder,Good American,Khloé Kardashian,2016,
1885,founder,Gosha Rubchinskiy,Gosha Rubchinskiy,2008,
1886,founder,Goyard,Pierre-François Martin-Laval,1792,
1887,founder,Grainne Morton,Grainne Morton,2011,
1888,founder,Gramicci,Mike Graham,1982,
1889,founder,Gregory Parkinson,Gregory Parkinson,2004,
1890,founder,Gucci Beauty,Guccio Gucci,1921,
1891,founder,Haizhen Wang,Haizhen Wang,2011,
1892,founder,Hakaan,Hakaan Yildirim,2010,
1893,founder,Halpern,Michael T. Halpern,2016,
1894,founder,Haney,Mary Alice Haney,2013,
1895,founder,Hanifa,Anifa Mvuemba,2017,
1896,founder,Harbison,Charles Elliott Harbison,2012,
1897,founder,Harris Reed,Harris Reed,2020,
1898,founder,Harris Wharf,Aldo & Giulia Acchiardi,2009,
1899,founder,Harwell Godfrey,Harwell Godfrey,2018,
1900,founder,Haryono Setiadi,Haryono Setiadi,1995,
1901,founder,Haute Victoire,Marie-Victoire De La Chapelle,2018,
1902,founder,Hed Mayner,Hed Mayner,2015,
1903,founder,Helena Rubinstein,Helena Rubinstein,1902,
1904,founder,Heliot Emil,Julius Juul,2015,
1905,founder,Hellessy,Sylvie Millstein,2012,
1906,founder,Henrik Vibskov,Henrik Vibskov,2001,
1907,founder,Heron Preston,Heron Preston,2016,
1908,founder,Hillier Bartley,Katie Hillier,2015,
1909,founder,Hiraeth,Two Friends,2020,
1910,founder,Holly Fulton,Holly Fulton,2009,
1911,founder,Hood By Air,Shayne Oliver,2006,
1912,founder,Hope,Ann Ringstrand,2001,
1913,founder,Hope For Flowers,Tracy Reese,1997,
1914,founder,Hourglass,Carisa Janes,2004,
1915,founder,Huda Beauty,Huda Kattan,2010,
1916,founder,Huishan Zhang,Huishan Zhang,2011,
1917,founder,Hunkydory,Ulrika Bjercke,1996,
1918,founder,Hunza G,Peter Meadows,1984,
1919,founder,Gustave Tassell,Gustave Tassell,1970,
1920,founder,Georgia Hardinge,Georgia Hardinge,2009,
1921,founder,Bottega Veneta,Vittorio Alfieri,1966,
1922,founder,Boudicca,Zowie Broach,1997,
1923,founder,Atlein,Antonin Tron,2016,
1924,founder,Annakiki,Anna Molinari,1995,
1925,founder,Anne Sofie Madsen,Anne Sofie Madsen,2008,
1926,founder,Anouki,Nana & Anouki Areshidze,2012,
1927,founder,Anrealage,Kunihiko Morinaga,2003,
1928,founder,Anteprima,Izumi Ogino,1993,
1929,founder,Anthony Lent,Tony Lenta,2013,
1930,founder,Anthony Vaccarello,Anthony Vaccarello,2009,
1931,founder,Anton Belinskiy,Anton Belinskiy,2014,
1932,founder,Antonio Azzuolo,Antonio Azzuolo,2009,
1933,founder,Antonio Grimaldi,Antonio M Grimaldi,1989,
1934,founder,Aouadi,Amine Aouadi,2018,
1935,founder,Aquazzura,Edgardo Osorio,2011,
1936,founder,Arch4,Alexey Kostin,2014,
1937,founder,Art School,Eden Loweth,2017,
1938,founder,Arthur Arbesser,Arthur Arbesser,2012,
1939,founder,Asceno,Lauren Leask,2014,
1940,founder,Asger Juel Larsen,Asger Juel Larsen,2008,
1941,founder,Ashi Studio,Ashish Gupta,2007,
1942,founder,Ashley Williams,Ashley Williams,2013,
1943,founder,Ashlyn,Ashlyn Gere,2020,
1944,founder,Byron Lars,Byron Lars,1991,
1945,founder,Camilla,Camilla Franks,2003,
1946,founder,Astrid Andersen,Astrid Andersen,2012,
1947,founder,Athleta,Athleta,1998,
1948,founder,Atsushi Nakashima,Atsushi Nakashima,2003,
1949,founder,Audra,Audra Noyes,2014,
1950,founder,Augustin Teboul,Annelie Augustinsson,2009,
1951,founder,Auralee,Ryota Iwai,2011,
1952,founder,Aurate,Sophie Kahn,2015,
1953,founder,Aureum,Aurelia Kowalczyk,2014,
1954,founder,Auteur,Lina Österman,2018,
1955,founder,Awaveawake,Kelsy Parkhouse,1995,
1956,founder,Aya Muse,Aya Kanai,1995,
1957,founder,Aztech Mountain,David Rothe,2013,
1958,founder,Babor,Marie Zdeňka Baborová-Čiháková,1956,
1959,founder,Babyghost,Qiaoran Huang & Joshua Hupper,2010,
1960,founder,Bach Mai,Nguyen Bach Mai,2018,
1961,founder,Bandier,Jennifer Bandier,2014,
1962,founder,Baja East,Scott Studenberg,2013,
1963,founder,Barbara Tfank,Barbara Tfank,2008,
1964,founder,Barton Perreira,Bill D. Barton,2007,
1965,founder,Base Mark,Two Friends,2018,
1966,founder,Batsheva,Batsheva Hay,2016,
1967,founder,Bea Bongiasca,Bea Bongiasca,2013,
1968,founder,Beaufille,Chloé & Parris Gordon,2013,
1969,founder,Beautiful People,Miquel Adrover,2004,
1970,founder,Bellerose,Patrick van Heurck,1989,
1971,founder,Benefit Cosmetics,The Ford Twins,1976,
1972,founder,Bergdorf Goodman,Herman Bergdorf,1899,
1973,founder,Bernard James,Bernard James,2014,
1974,founder,Bevza,Olga Bevza,2008,
1975,founder,Bianca Saunders,Bianca Saunders,2017,
1976,founder,Bianca Spender,Bianca Spender,2003,
1977,founder,Bibhu Mohapatra,Bibhu Mohapatra,2008,
1978,founder,Big Park,Two Friends,2020,
1979,founder,Billy Reid,William Billy Reid,1998,
1980,founder,Blue Nile,Blue Nile,1999,
1981,founder,Bluebella,Emily Bendell,2005,
1982,founder,Boden,Johnnie Boden,1991,
1983,founder,Boglioli,Boglioli Family,2019,
1984,founder,Boramy Viguier,Boramy Viguier,2017,
1985,founder,Botter,Rushemy Botter,2017,
1986,founder,Bouchra Jarrar,Bouchra Jarrar,2010,
1987,founder,Brandon Sun,Brandon Sun,2011,
1988,founder,Brixton,Three Friends,2004,
1989,founder,Brother Vellies,Aurora James,1995,
1990,founder,Buccellati,Mario Buccellati,1919,
1991,founder,Burc Akyol,Burc Akyol,2011,
1992,founder,Burts Bees,Burt Shavitz,1984,
1993,founder,By Johnny,Johnny Schembri,2013,
1994,founder,Cadet,Raúl Arévalo,2011,
1995,founder,Caes,Helen De Kluiver,2019,
1996,founder,Calvin Luo,Calvin Luo,2014,
1997,founder,Canada Goose,Sam Tickle,1957,
1998,founder,Capucci,Roberto Capucci,1951,
1999,founder,Carin Wester,Carin Wester,2003,
2000,founder,Carla Zampatti,Carla Zampatti,1965,
2001,founder,Carmen March,Carmen Marchiol,2008,
2002,founder,Carolina Bucci,Carolina Bucci,2003,
2003,founder,Carolina Santo Domingo,Carolina Santo Domingo,2012,
2004,founder,Anne Fontaine,Anne Fontaine,1993,
2005,founder,Bernard Chandran,Bernard Chandran,1993,
2006,founder,Ben Sherman,Arthur Bernard Sugarman,1963,
2007,founder,Lele Sadoughi,Lele Sadoughi,,
2008,founder,Ida Klamborn,Ida Klamborn,,
2009,founder,Iordanes Spyridon Gogos,Iordanes Spyridon Gogos,,
2010,founder,Johnundercover,John Tanabe,,
2011,founder,Katerina Kvit,Katerina Kvit,,
2012,founder,Kevin Murphy,Kevin G Murphy,,
2013,founder,Kevyn Aucoin,Kevyn Aucoin,,
2014,founder,Kiko Kostadinov,Kiko Kostadinov,,
2015,founder,Kinder Aggugini,"Christopher ""Kinder"" Aggugini",,
2016,founder,Koi Suwannagate,Koi Suwannagate,,
2017,founder,Kulani Kinis,Kelsy Parkhouse,,
2018,founder,Laura Garcia,Laura García,,
2019,founder,Lauren Rubinski,Lauren Rubinski,,
2020,founder,Hussein Chalayan,Hussein Chalayan,,
2021,founder,Kristian Aadnevik,A Norwegian Born Designer,,
2022,founder,Issey Miyake,Issey Miyake,1971,
2023,founder,Lecoanet Hemant,Didier Lecoanet,1985,
2024,founder,Lardini,Luigi Lardini,1978,
2025,founder,Jacquemus,Simon Porte Jacquemus,2009,
2026,founder,Jacquie Aiche,Jacquie Aiche,2007,
2027,founder,Jade Swim,Brittany Kozerski,2017,
2028,founder,Jade Trau,Jade Lai,2014,
2029,founder,Jain Song,Jain Song,2014,
2030,founder,Jamie Wei Huang,Jamie Wei Huang,1995,
2031,founder,Jane Taylor,Jane Taylor,2009,
2032,founder,Jasmin Sparrow,Jasmin Sparrow,2013,
2033,founder,Jason Wu Collection,Jason Wu,1995,
2034,founder,Jay Ahr,Jonathan Riss,2009,
2035,founder,Jayson Brunsdon,Jayson Brunsdon,2000,
2036,founder,Jennifer Chamandi,Jennifer Chamandi,2017,
2037,founder,Jeffrey Dodd,Jeffrey Dodd,2014,
2038,founder,Jenni Kayne,Jenni Kayne,2003,
2039,founder,Jennifer Meyer,Jennifer Meyer,2005,
2040,founder,Jenny Bird,Jenny Bird,2010,
2041,founder,Kilgour,T & F French,1882,
2042,founder,Ksenia Schnaider,Ksenia Marchenko,2011,
2043,founder,La Prairie,La Prairie,1931,
2044,founder,Laneige,Amore Pacific,1994,
2045,founder,Le Labo,Fabrice Penot,2006,
2046,founder,Hyke,Hideaki Yoshihara,2013,
2047,founder,Il Bisonte,Wanny Di Filippo,1970,
2048,founder,Ileana Makri,Ileana Makri,2000,
2049,founder,Interior,Jack Miner,2020,
2050,founder,Isa Arfen,Serafina Sama,2011,
2051,founder,Issever Bahri,Derya Issever,2010,
2052,founder,Ivan Grundahl,Ivan Grundahl,1982,
2053,founder,Ivanman,Ivan Mandzukic,2012,
2054,founder,Jeremy Laing,Jeremy Laing,2004,
2055,founder,Ji Oh,Ji-Oh Mok,2018,
2056,founder,Johanna Ortiz,Johanna Ortiz,1995,
2057,founder,Johanna Parv,Jannetje Parvé,2014,
2058,founder,John Alexander Skelton,John Alexander Skelton,2018,
2059,founder,John Elliott,John Elliott,2012,
2060,founder,John Lawrence Sullivan,John L. Sullivan,2005,
2061,founder,Jonathan Cohen,Jonathan Cohen,2011,
2062,founder,Joie,Serge Azria,2004,
2063,founder,Jordan Dalah,Jordan Dalah,2020,
2064,founder,Josh Goot,Josh Goot,2005,
2065,founder,Joslin,Joslin Davis,2018,
2066,founder,Juan Carlos Obando,Juan Carlos Obando,2008,
2067,founder,Juan Vidal,Juan Vidal,2008,
2068,founder,Judy Turner,Lana Turner,2019,
2069,founder,Julian Zigerli,Julian Zigerli,2010,
2070,founder,Julien David,Julien David,2007,
2071,founder,Jun Ashida,Jun Ashida,1951,
2072,founder,Justine Clenquet,Justine Clenquet,2014,
2073,founder,K Krizia,Krizia,1954,
2074,founder,Kaelen,Kaelen Haworth,2010,
2075,founder,Kamishima Chinami,Chinami Kamishima,2004,
2076,founder,Karla Spetic,Karla Spetic,2011,
2077,founder,Kathleen Whitaker,Kathleen Whitaker,2003,
2078,founder,Katie Eary,Katie Eary,2008,
2079,founder,Katie Ermilio,Katie Ermilio,2011,
2080,founder,Katkim,Kat Kim,1995,
2081,founder,Kaufmanfranco,Ken Kaufman,2004,
2082,founder,Kayu,Jamie Lim,1995,
2083,founder,Kenneth Ize,Kenneth Ize,2018,
2084,founder,Kevork Kiledjian,Kevork Kiledjian,1998,
2085,founder,Khiry,Khiry Shelton,2014,
2086,founder,Kilian Kerner,Kilian Kerner,2004,
2087,founder,Kim Shui,Kim Shui,2017,
2088,founder,Kimberly Ovitz,Kimberly Ovitz,2009,
2089,founder,Kiok,Two Friends,2020,
2090,founder,Kozaburo,Kozaburo Akasaka,2013,
2091,founder,Kwaidan Editions,Léa Dickely,2014,
2092,founder,Lala Berlin,Leyla Piedayesh,2004,
2093,founder,Lana Jewelry,Lana Bramlette,2002,
2094,founder,Laura Lombardi,Laura Lombardi,2010,
2095,founder,Laura Mercier,Laura Mercier,1996,
2096,founder,Laura Siegel,Laura Siegel,2014,
2097,founder,Lauren Manoogian,Lauren Manoogian,2010,
2098,founder,Lawrence Steele,Lawrence Steele,2009,
2099,founder,Lazoschmidl,Maria Lazos,2014,
2100,founder,Le Kilt,Samantha Mccoach,2014,
2101,founder,Lee Mathews,Lee Mathews,2009,
2102,founder,Legres,Lina Österman,2020,
2103,founder,Isabel Toledo,Isabel Toledo,1985,
2104,founder,Koos Van Den Akker,Koos Van Den Akker,1960,
2105,founder,Lainey Keogh,Marianne Gunn O'Connor,1987,
2106,founder,Katharine Hamnett,Katharine E. Hamnett,1979,
2107,founder,Mackage,Eran Elfassy,,
2108,founder,Markarian,Alexandra O’Neill,,
2109,founder,Martiniano,Martiniano Lopez Crozet,,
2110,founder,Maryam Nassir Zadeh,Maryam Nassir Zadeh,,
2111,founder,Matty Bovan,Matthew Bovan,,
2112,founder,Miaou,Alexia Elkaim,,
2113,founder,Lorraine Schwartz,Lorraine Schwartz,,
2114,founder,Lizzie Fortunato,Lizzie Fortunato,,
2115,founder,Logan Hollowell,Logan Hollowell,,
2116,founder,Lloyd Klein,Lloyd Klein,,
2117,founder,Massimo Dutti,Inditex Group,1985,
2118,founder,Maje,Judith Milgrom,2004,
2119,founder,Madhappy,Jonah Hill,2017,
